time_s,ax,ay,az,gx,gy,gz,mx,my,mz
25.026,-0.1965,-0.0014,0.8508,-8.0643,-7.7820,1.4420,7.1690,21.6474,3.4556
25.045,-0.1921,-0.0043,0.8500,-9.2621,-8.3694,1.2894,7.1690,21.6474,3.4556
25.065,-0.1898,-0.0080,0.8519,-10.5057,-8.9340,1.0452,7.1690,21.6474,3.4556
25.084,-0.1891,-0.0034,0.8546,-10.5972,-9.0332,1.2741,10.7534,10.8237,-6.9112
25.104,-0.1872,-0.0067,0.8557,-10.0861,-9.5520,1.2970,10.7534,10.8237,-6.9112
25.124,-0.1829,-0.0073,0.8516,-9.9945,-9.2010,1.7853,10.7534,10.8237,-6.9112
25.143,-0.1776,-0.0010,0.8513,-9.9335,-9.2773,1.4725,10.7534,10.8237,-6.9112
25.163,-0.1780,-0.0038,0.8554,-10.0098,-9.4681,1.2436,10.7534,10.8237,-6.9112
25.182,-0.1849,-0.0071,0.8556,-10.2692,-9.2621,0.9766,10.7534,10.8237,-6.9112
25.202,-0.1837,-0.0107,0.8569,-9.9945,-8.5068,1.1978,10.7534,10.8237,-6.9112
25.221,-0.1853,-0.0073,0.8560,-9.7656,-8.1787,1.6022,5.3767,19.8435,-8.6391
25.241,-0.1879,-0.0032,0.8534,-9.6893,-8.3694,1.8311,5.3767,19.8435,-8.6391
25.260,-0.1871,-0.0029,0.8535,-10.3302,-9.0942,1.6098,5.3767,19.8435,-8.6391
25.280,-0.1896,-0.0040,0.8519,-10.7269,-10.4065,1.2512,5.3767,19.8435,-8.6391
25.299,-0.1932,-0.0030,0.8553,-11.1618,-10.5820,1.2360,5.3767,19.8435,-8.6391
25.319,-0.1906,-0.0037,0.8494,-11.5433,-10.8032,1.2054,5.3767,19.8435,-8.6391
25.338,-0.1877,-0.0062,0.8536,-11.3678,-11.1923,1.1749,14.3379,3.6079,13.8225
25.358,-0.1886,-0.0094,0.8539,-11.3602,-11.8942,1.3885,14.3379,3.6079,13.8225
25.377,-0.1823,-0.0131,0.8526,-11.4746,-11.8256,1.6174,14.3379,3.6079,13.8225
25.397,-0.1839,-0.0106,0.8609,-11.6882,-12.3749,1.5411,14.3379,3.6079,13.8225
25.416,-0.1814,-0.0112,0.8531,-11.7569,-11.5967,1.0986,14.3379,3.6079,13.8225
25.436,-0.1780,-0.0250,0.8537,-12.2299,-12.1155,0.6866,14.3379,3.6079,13.8225
25.456,-0.1758,-0.0193,0.8635,-12.1536,-13.0386,0.9384,16.1302,27.0593,5.1834
25.475,-0.1792,-0.0099,0.8503,-10.8948,-11.8256,0.8011,16.1302,27.0593,5.1834
